SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 01, 2021	December 23, 2020	December 22, 2020	December 21, 2020	December 18, 2020
Chinese yuan		0.1062470000	0.1058910000	0.1062510000	0.1058600000
Euro		0.8447040000	0.8487470000	0.8470790000	0.8489770000
Japanese yen		0.0066999400	0.0067048000	0.0067311600	0.0067073500
U.K. pound		0.9317710000	0.9296750000	0.9236240000	0.9372060000
U.S. dollar		0.6943150000	0.6934770000	0.6958670000	0.6925340000
Algerian dinar		0.0052452500	0.0052352100		0.0052400200
Australian dollar		0.5243470000	0.5240610000	0.5267710000	0.5259100000
Botswana pula		0.0641547000	0.0641466000	0.0641589000	0.0639901000
Brazilian real		0.1342090000	0.1347420000	0.1349470000	0.1358440000
Brunei dollar		0.5200080000	0.5194580000	0.5221090000	0.5221160000
Canadian dollar		0.5400710000	0.5372460000	0.5415730000	0.5421010000
Chilean peso		0.0009524730	0.0009490580	0.0009613410	0.0009572790
Colombian peso		0.0002015490	0.0002014510	0.0002034540	0.0002030400
Czech koruna		0.0320241000	0.0322713000	0.0322310000	0.0324783000
Danish krone		0.1135650000	0.1140770000	0.1138530000	0.1141210000
Indian rupee		0.0094063800	0.0093855300	0.0094483200	0.0094203600
Israeli New Shekel		0.2154920000	0.2144330000	0.2140470000	0.2136790000
Korean won		0.0006274310	0.0006297470	0.0006338160	0.0006337240
Kuwaiti dinar		2.2869400000	2.2841800000	2.2909200000	
Malaysian ringgit					
Mauritian rupee		0.0175365000	0.0175216000	0.0175681000	0.0174886000
Mexican peso		0.0345130000	0.0345767000	0.0346366000	0.0347157000
New Zealand dollar		0.4882420000	0.4913280000	0.4941350000	0.4948850000
Norwegian krone		0.0795102000	0.0801170000	0.0795249000	0.0807300000
Omani rial		1.8057600000	1.8035800000	1.8098000000	
Peruvian sol				0.1931350000	
Philippine peso		0.0144375000		0.0144803000	0.0144101000
Polish zloty		0.1880640000	0.1878270000	0.1876560000	0.1906650000
Qatari riyal		0.1907460000	0.1905160000	0.1911720000	
Russian ruble		0.0092014500	0.0092034400	0.0093189700	0.0094459400
Saudi Arabian riyal			0.1849270000	0.1855650000	
Singapore dollar		0.5200080000	0.5194580000	0.5221090000	0.5221160000
South African rand		0.0475672000	0.0475390000	0.0468161000	0.0476494000
Swedish krona		0.0836020000	0.0838089000	0.0834153000	0.0838267000
Swiss franc		0.7802610000	0.7834570000	0.7831930000	0.7842970000
Thai baht		0.0229845000	0.0229971000	0.0231770000	0.0232355000
Trinidadian dollar		0.1031260000	0.1027740000	0.1030000000	0.1023840000
U.A.E. dirham		0.1890580000	0.1888300000	0.1894800000	
Uruguayan peso		0.0164082000	0.0164152000	0.0164921000	0.0164388000

Currency units per SDR(3)

Currency	January 01, 2021	December 23, 2020	December 22, 2020	December 21, 2020	December 18, 2020
Chinese yuan		9.412030	9.443670	9.411680	9.446440
Euro		1.183850	1.178210	1.180530	1.177890
Japanese yen		149.255000	149.147000	148.563000	149.090000
U.K. pound		1.073230	1.075640	1.082690	1.067000
U.S. dollar		1.440270	1.442010	1.437060	1.443970
Algerian dinar		190.649000	191.014000		190.839000
Australian dollar		1.907130	1.908170	1.898360	1.901470
Botswana pula		15.587300	15.589300	15.586300	15.627400
Brazilian real		7.451070	7.421590	7.410320	7.361390
Brunei dollar		1.923050	1.925080	1.915310	1.915280
Canadian dollar		1.851610	1.861340	1.846470	1.844670
Chilean peso		1,049.900000	1,053.680000	1,040.210000	1,044.630000
Colombian peso		4,961.570000	4,963.990000	4,915.120000	4,925.140000
Czech koruna		31.226500	30.987300	31.026000	30.789800
Danish krone		8.805530	8.766010	8.783260	8.762630
Indian rupee		106.311000	106.547000	105.839000	106.153000
Israeli New Shekel		4.640540	4.663460	4.671870	4.679920
Korean won		1,593.800000	1,587.940000	1,577.740000	1,577.970000
Kuwaiti dinar		0.437266	0.437794	0.436506	
Malaysian ringgit					
Mauritian rupee		57.023900	57.072400	56.921400	57.180100
Mexican peso		28.974600	28.921200	28.871200	28.805400
New Zealand dollar		2.048160	2.035300	2.023740	2.020670
Norwegian krone		12.577000	12.481700	12.574700	12.387000
Omani rial		0.553783	0.554453	0.552547	
Peruvian sol				5.177730	
Philippine peso		69.264100		69.059300	69.395800
Polish zloty		5.317340	5.324050	5.328900	5.244800
Qatari riyal		5.242570	5.248900	5.230890	
Russian ruble		108.679000	108.655000	107.308000	105.866000
Saudi Arabian riyal			5.407540	5.388950	
Singapore dollar		1.923050	1.925080	1.915310	1.915280
South African rand		21.022900	21.035400	21.360200	20.986600
Swedish krona		11.961400	11.931900	11.988200	11.929400
Swiss franc		1.281620	1.276390	1.276820	1.275030
Thai baht		43.507600	43.483700	43.146200	43.037600
Trinidadian dollar		9.696880	9.730090	9.708740	9.767150
U.A.E. dirham		5.289380	5.295770	5.277600	
Uruguayan peso		60.945100	60.919100	60.635100	60.831700


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
